,OverallQual,GrLivArea,GarageArea,Neighborhood,1stFlrSF,BsmtFinSF1,LotArea,YearBuilt,LotFrontage,BsmtUnfSF,OpenPorchSF,YearRemodAdd,WoodDeckSF,MasVnrArea,OverallCond,2ndFlrSF,MoSold,ExterQual,BsmtQual_Gd,GarageFinish_RFn,Id,SalePrice
0,7,1710,548.0,196442.92617449665,856,706.0,8450,2003,65.0,150.0,61,2003,0,196.0,5,854,2,4,1,1,1,208500.0
1,6,1262,460.0,238772.72727272726,1262,978.0,9600,1976,80.0,284.0,0,1976,298,0.0,8,0,5,3,1,1,2,181500.0
2,7,1786,608.0,196442.92617449665,920,486.0,11250,2001,68.0,434.0,42,2002,0,162.0,5,866,9,4,1,1,3,223500.0
3,7,1717,642.0,210624.72549019608,961,216.0,9550,1915,60.0,540.0,35,1970,0,0.0,5,756,2,3,0,0,4,140000.0
4,8,2198,836.0,288200.24242424243,1145,655.0,14260,2000,84.0,490.0,84,2000,192,350.0,5,1053,12,4,1,1,5,250000.0
5,5,1362,480.0,156270.1224489796,796,732.0,14115,1993,85.0,64.0,30,1995,40,0.0,5,566,10,3,1,0,6,143000.0
6,8,1694,636.0,223054.89411764705,1694,1369.0,10084,2004,75.0,317.0,57,2005,255,186.0,5,0,8,4,0,1,7,307000.0
7,7,2090,484.0,189050.0684931507,1107,859.0,10382,1973,88.31155502012298,216.0,204,1973,235,240.0,6,983,11,3,1,1,8,200000.0
8,7,1774,468.0,125914.94594594595,1022,0.0,6120,1931,51.0,952.0,0,1950,90,0.0,5,752,4,3,0,0,9,129900.0
9,5,1077,205.0,126334.64912280702,1077,851.0,7420,1939,50.0,140.0,4,1950,0,0.0,6,0,1,3,0,1,10,118000.0
10,5,1040,384.0,136793.13513513515,1040,906.0,11200,1965,70.0,134.0,0,1965,0,0.0,5,0,2,3,0,0,11,129500.0
11,9,2324,736.0,284706.625,1182,998.0,11924,2005,85.0,177.0,21,2006,147,286.0,5,1142,7,5,0,0,12,345000.0
12,5,912,352.0,136793.13513513515,912,737.0,12968,1962,103.56761606481744,175.0,0,1962,140,0.0,6,0,9,3,0,0,13,144000.0
13,7,1494,840.0,196442.92617449665,1494,0.0,10652,2006,91.0,1494.0,33,2007,160,306.0,5,0,8,4,1,1,14,279500.0
14,6,1253,352.0,145847.08,1253,733.0,10920,1960,92.8879002908633,520.0,213,1960,0,212.0,5,0,5,3,0,1,15,157000.0
15,7,854,576.0,126334.64912280702,854,0.0,6120,1929,51.0,832.0,112,2001,48,0.0,8,0,7,3,0,0,16,132000.0
16,6,1004,480.0,145847.08,1004,578.0,11241,1970,53.05106590959012,426.0,0,1970,0,180.0,7,0,3,3,0,0,17,149000.0
17,4,1296,516.0,136793.13513513515,1296,0.0,10791,1967,72.0,0.0,0,1967,0,0.0,5,0,10,3,0,0,18,90000.0
18,5,1114,576.0,186555.7966101695,1114,646.0,13695,2004,66.0,468.0,102,2004,0,0.0,5,0,6,3,0,0,19,159000.0
19,5,1339,294.0,145847.08,1339,504.0,7560,1958,70.0,525.0,0,1965,0,0.0,6,0,5,3,0,0,20,139000.0
20,8,2376,853.0,284706.625,1158,0.0,14215,2005,101.0,1158.0,154,2006,240,380.0,5,1218,11,4,0,1,21,325300.0
21,7,1108,280.0,105716.73529411765,1108,0.0,7449,1930,57.0,637.0,0,1950,0,0.0,7,0,6,3,0,0,22,139400.0
22,8,1795,534.0,196442.92617449665,1795,0.0,9742,2002,75.0,1777.0,159,2002,171,281.0,5,0,9,4,1,1,23,230000.0
23,5,1060,572.0,98576.4705882353,1060,840.0,4224,1976,44.0,200.0,110,1976,100,0.0,7,0,6,3,1,0,24,129900.0
24,5,1060,270.0,136793.13513513515,1060,188.0,8246,1968,65.85584223245564,204.0,90,2001,406,0.0,8,0,5,3,0,0,25,154000.0
25,8,1600,890.0,284706.625,1600,0.0,14230,2007,110.0,1566.0,56,2007,0,640.0,5,0,7,4,1,1,26,256300.0
26,5,900,576.0,145847.08,900,234.0,7200,1951,60.0,180.0,32,2000,222,0.0,7,0,5,3,0,0,27,134800.0
27,8,1704,772.0,284706.625,1704,1218.0,11478,2007,98.0,486.0,50,2008,0,200.0,5,0,5,4,0,1,28,306000.0
28,5,1600,319.0,145847.08,1600,1277.0,16321,1957,47.0,207.0,258,1997,288,0.0,6,0,12,3,0,1,29,207500.0
29,4,520,240.0,126334.64912280702,520,0.0,6324,1927,60.0,520.0,0,1950,49,0.0,6,0,5,3,0,0,30,68500.0
30,5,1228,271.0,136793.13513513515,1228,0.0,8544,1966,40.32277440899724,1228.0,65,2006,0,0.0,6,0,6,3,0,0,32,149350.0
31,8,1234,484.0,196442.92617449665,1234,0.0,11049,2007,85.0,1234.0,30,2007,0,0.0,5,0,1,4,0,1,33,179900.0
32,5,1700,447.0,145847.08,1700,1018.0,10552,1959,70.0,380.0,38,1959,0,0.0,5,0,4,3,0,1,34,165500.0
33,9,1561,556.0,284706.625,1561,1153.0,7313,2005,60.0,408.0,47,2005,203,246.0,5,0,8,5,0,0,35,277500.0
34,8,2452,691.0,284706.625,1132,0.0,13418,2004,108.0,1117.0,32,2005,113,132.0,5,1320,9,4,0,0,36,309000.0
35,5,1097,672.0,196442.92617449665,1097,0.0,10859,1994,112.0,1097.0,64,1995,392,0.0,5,0,6,3,1,0,37,145000.0
36,5,1297,498.0,145847.08,1297,1213.0,8532,1954,74.0,84.0,0,1990,0,650.0,6,0,10,3,0,0,38,153000.0
37,5,1057,246.0,145847.08,1057,731.0,7922,1953,68.0,326.0,52,2007,0,0.0,7,0,1,3,0,0,39,109000.0
38,4,1152,0.0,128219.7,1152,0.0,6040,1955,65.0,0.0,0,1955,0,0.0,5,0,6,3,0,0,40,82000.0
39,6,1324,440.0,145847.08,1324,643.0,8658,1965,84.0,445.0,138,1965,0,101.0,5,0,12,3,0,1,41,160000.0
40,5,1328,308.0,242247.44736842104,1328,967.0,16905,1959,115.0,383.0,104,1959,0,0.0,6,0,7,3,0,1,42,170000.0
